filename,channel,rate,label,score,predicted,time_sec
aditya-sethia-6f1FHlC080A-unsplash.png,R,0,0,0,0,0.03701043128967285
aditya-sethia-ip25moYmzaw-unsplash.png,R,0,0,0,0,0.020410776138305664
aditya-sethia-n3S3byJlHBk-unsplash.png,R,0,0,0,0,0.018175363540649414
adrian-kuma-pLwqsVFhAbg-unsplash.png,R,0,0,0,0,0.020134449005126953
alexander-tsang-lps5cLZ6j2g-unsplash.png,R,0,0,0,0,0.015862226486206055
alexandre-boucey-CDxeDdf9WB4-unsplash.png,R,0,0,0,0,0.023522615432739258
amy-dsouza--dUpJStSCfw-unsplash.png,R,0,0,0,0,0.03878617286682129
andreea-v-smgqIwTvf0M-unsplash.png,R,0,0,0,0,0.03824138641357422
anna-delliou--Zjsn9sUxto-unsplash.png,R,0,0,0,0,0.02884054183959961
anna-ogiienko-DM2Gr9U7lHo-unsplash.png,R,0,0,0,0,0.020287036895751953
anusha-barwa-ppKcYi1CXcI-unsplash.png,R,0,0,0,0,0.019350767135620117
arunjith-nattika-7FEsBOHAZi8-unsplash.png,R,0,0,0,0,0.03027653694152832
arunjith-nattika-IN_cuy-07DQ-unsplash.png,R,0,0,0,0,0.024807214736938477
arunjith-nattika-UDZyhW7wi5k-unsplash.png,R,0,0,0,0,0.02311396598815918
arunjith-nattika-puCwEtQRbY4-unsplash.png,R,0,0,0,0,0.022487878799438477
atharva-whaval-v04I1xrOY_k-unsplash.png,R,0,0,0,0,0.0263826847076416
bohdan-turchyk-JIba3lvYNSo-unsplash.png,R,0,0,0,0,0.024459362030029297
caleb-woods-kwEIP4ifUsg-unsplash.png,R,0,0,0,0,0.019156694412231445
cedric-vt-IuJc2qh2TcA-unsplash.png,R,0,0,0,0,0.01766347885131836
cesar-boaventura-PaxqKH21xYU-unsplash.png,R,0,0,0,0,0.019199609756469727
charlie-deets-TKgOIwPVmkg-unsplash.png,R,0,0,0,0,0.023059368133544922
crea_-tenew7-8xyY-Z_FLsQ-unsplash.png,R,0,0,0,0,0.017099380493164062
dan-cristian-padure-CAFrWrUX_8k-unsplash.png,R,0,0,0,0,0.016485929489135742
daniel-fox-bB3R8Oq8d3s-unsplash.png,R,0,0,0,0,0.028053760528564453
dary-lam-aWi-h-5LAIo-unsplash.png,R,0,0,0,0,0.022130250930786133
default-cameraman-jxYBtmmeSgA-unsplash.png,R,0,0,0,0,0.02149176597595215
diana-rafira-0OTOmSTsLjc-unsplash.png,R,0,0,0,0,0.021458148956298828
dong-cheng-wTJhPgoMJ-E-unsplash.png,R,0,0,0,0,0.01681661605834961
erika-lowe-_omWvydhvYI-unsplash.png,R,0,0,0,0,0.020716428756713867
eunkwang-choi-0IZog-f0R_M-unsplash.png,R,0,0,0,0,0.03248929977416992
fahrul-razi-Q3AMrYJw_9w-unsplash.png,R,0,0,0,0,0.017217397689819336
fr0ggy5-Eo_ncrYjvO4-unsplash.png,R,0,0,0,0,0.025728702545166016
fr0ggy5-XH8_H2QN7gs-unsplash.png,R,0,0,0,0,0.018202781677246094
fr0ggy5-n4CsSYz4V5A-unsplash.png,R,0,0,0,0,0.01824164390563965
fr0ggy5-uCGY3dWJezw-unsplash.png,R,0,0,0,0,0.014296531677246094
fr0ggy5-yWHgoN2O3F8-unsplash.png,R,0,0,0,0,0.019565582275390625
francesco-ungaro-48bZh32St1Q-unsplash.png,R,0,0,0,0,0.027098417282104492
frecia-chirinos-Hvd7GD10xRs-unsplash.png,R,0,0,0,0,0.02933669090270996
geoff-oliver-_11WJbxYZ6U-unsplash.png,R,0,0,0,0,0.034685611724853516
geoff-oliver-iQBaXwl7AVo-unsplash.png,R,0,0,0,0,0.022216081619262695
gleb-khodiakov-0VrQIF-jYAY-unsplash.png,R,0,0,0,0,0.020609617233276367
hanmer-zh-CVS4kWJaYLs-unsplash.png,R,0,0,0,0,0.022283315658569336
ivan-stepanov-K-rlmMEHDxc-unsplash.png,R,0,0,0,0,0.02350902557373047
jack1007-1WiR5zUsaPo-unsplash.png,R,0,0,0,0,0.018702268600463867
