filename,channel,rate,label,detected,R_blocks,S_blocks,U_blocks,time_sec
aditya-sethia-6f1FHlC080A-unsplash.png,R,0,0,0,34582,30954,0,1.4346742630004883
aditya-sethia-ip25moYmzaw-unsplash.png,R,0,0,0,34301,31235,0,1.2103686332702637
aditya-sethia-n3S3byJlHBk-unsplash.png,R,0,0,0,35442,30094,0,1.2413873672485352
adrian-kuma-pLwqsVFhAbg-unsplash.png,R,0,0,0,43935,21601,0,1.1891593933105469
alexander-tsang-lps5cLZ6j2g-unsplash.png,R,0,0,0,35771,29765,0,4.149811506271362
alexandre-boucey-CDxeDdf9WB4-unsplash.png,R,0,0,0,40733,24803,0,1.6968629360198975
amy-dsouza--dUpJStSCfw-unsplash.png,R,0,0,0,33444,32092,0,1.391996145248413
andreea-v-smgqIwTvf0M-unsplash.png,R,0,0,0,33588,31948,0,1.356612205505371
anna-delliou--Zjsn9sUxto-unsplash.png,R,0,0,0,33599,31937,0,1.47147798538208
anna-ogiienko-DM2Gr9U7lHo-unsplash.png,R,0,0,0,41548,23988,0,1.3099398612976074
anusha-barwa-ppKcYi1CXcI-unsplash.png,R,0,0,0,35413,30123,0,1.3369991779327393
arunjith-nattika-7FEsBOHAZi8-unsplash.png,R,0,0,0,40353,25183,0,1.5143449306488037
arunjith-nattika-IN_cuy-07DQ-unsplash.png,R,0,0,0,35373,30163,0,1.4020662307739258
arunjith-nattika-UDZyhW7wi5k-unsplash.png,R,0,0,0,37152,28384,0,1.8226499557495117
arunjith-nattika-puCwEtQRbY4-unsplash.png,R,0,0,0,40799,24737,0,3.2504611015319824
atharva-whaval-v04I1xrOY_k-unsplash.png,R,0,0,0,33893,31643,0,1.4581174850463867
bohdan-turchyk-JIba3lvYNSo-unsplash.png,R,0,0,0,37049,28487,0,1.3315143585205078
caleb-woods-kwEIP4ifUsg-unsplash.png,R,0,0,0,34206,31330,0,1.3429172039031982
cedric-vt-IuJc2qh2TcA-unsplash.png,R,0,0,0,44211,21325,0,1.2881324291229248
cesar-boaventura-PaxqKH21xYU-unsplash.png,R,0,0,0,33801,31735,0,1.3186366558074951
charlie-deets-TKgOIwPVmkg-unsplash.png,R,0,0,0,38184,27352,0,1.8120756149291992
crea_-tenew7-8xyY-Z_FLsQ-unsplash.png,R,0,0,0,33184,32352,0,1.6125304698944092
dan-cristian-padure-CAFrWrUX_8k-unsplash.png,R,0,0,0,33611,31925,0,1.9235191345214844
daniel-fox-bB3R8Oq8d3s-unsplash.png,R,0,0,0,33583,31953,0,2.3224260807037354
dary-lam-aWi-h-5LAIo-unsplash.png,R,0,0,0,34260,31276,0,5.147352933883667
default-cameraman-jxYBtmmeSgA-unsplash.png,R,0,0,0,33529,32007,0,1.580453634262085
diana-rafira-0OTOmSTsLjc-unsplash.png,R,0,0,0,49141,16395,0,1.6239941120147705
dong-cheng-wTJhPgoMJ-E-unsplash.png,R,0,0,0,37108,28428,0,3.020867109298706
erika-lowe-_omWvydhvYI-unsplash.png,R,0,0,0,42282,23254,0,1.8998093605041504
eunkwang-choi-0IZog-f0R_M-unsplash.png,R,0,0,0,43621,21915,0,1.7519869804382324
fahrul-razi-Q3AMrYJw_9w-unsplash.png,R,0,0,0,36400,29136,0,2.5298852920532227
fr0ggy5-Eo_ncrYjvO4-unsplash.png,R,0,0,0,36122,29414,0,1.8759167194366455
fr0ggy5-XH8_H2QN7gs-unsplash.png,R,0,0,0,33999,31537,0,1.6519615650177002
fr0ggy5-n4CsSYz4V5A-unsplash.png,R,0,0,0,37464,28072,0,1.932837963104248
fr0ggy5-uCGY3dWJezw-unsplash.png,R,0,0,0,41430,24106,0,1.6488022804260254
fr0ggy5-yWHgoN2O3F8-unsplash.png,R,0,0,0,34092,31444,0,1.6607084274291992
francesco-ungaro-48bZh32St1Q-unsplash.png,R,0,0,0,35508,30028,0,2.1674506664276123
frecia-chirinos-Hvd7GD10xRs-unsplash.png,R,0,0,0,40778,24758,0,1.6735386848449707
geoff-oliver-_11WJbxYZ6U-unsplash.png,R,0,0,0,33431,32105,0,1.6855518817901611
geoff-oliver-iQBaXwl7AVo-unsplash.png,R,0,0,0,34560,30976,0,1.5392818450927734
gleb-khodiakov-0VrQIF-jYAY-unsplash.png,R,0,0,0,41608,23928,0,2.3806042671203613
hanmer-zh-CVS4kWJaYLs-unsplash.png,R,0,0,0,36251,29285,0,5.29606556892395
ivan-stepanov-K-rlmMEHDxc-unsplash.png,R,0,0,0,38049,27487,0,1.741837739944458
